date,open,close,high,low,volume,code
2014-09-30,7.959,7.933,7.977,7.907,519218.0,000002
2014-10-08,8.245,8.158,8.279,8.08,1447312.0,000002
2014-10-09,8.167,8.184,8.27,8.167,825050.0,000002
2014-10-10,8.184,8.27,8.391,8.132,1178578.0,000002
2014-10-13,8.27,8.331,8.469,8.21,828536.0,000002
2014-10-14,8.322,8.219,8.322,8.167,654398.0,000002
2014-10-15,8.175,8.132,8.227,8.037,609059.0,000002
2014-10-16,8.08,8.046,8.106,8.02,608289.0,000002
2014-10-17,8.046,8.08,8.132,8.003,591395.0,000002
2014-10-20,8.124,8.08,8.175,8.054,597402.0,000002
2014-10-21,8.063,7.968,8.072,7.951,551512.0,000002
2014-10-22,7.977,7.951,8.02,7.933,412005.0,000002
2014-10-23,7.959,7.864,7.985,7.812,478058.0,000002
2014-10-24,7.856,7.856,7.933,7.821,325343.0,000002
2014-10-27,7.847,7.588,7.856,7.553,842476.0,000002
2014-10-28,7.622,7.795,7.804,7.622,693200.0,000002
2014-10-29,7.804,7.968,7.968,7.709,837365.0,000002
2014-10-30,7.968,7.933,7.968,7.838,692820.0,000002
2014-10-31,7.916,8.124,8.141,7.907,1100853.0,000002
2014-11-03,8.149,8.037,8.262,7.951,884538.0,000002
2014-11-04,8.003,8.115,8.141,7.933,905869.0,000002
2014-11-05,8.106,8.028,8.132,7.994,478826.0,000002
2014-11-06,8.054,8.063,8.21,8.028,724469.0,000002
2014-11-07,8.072,8.124,8.262,7.994,1002195.0,000002
2014-11-10,8.21,8.279,8.314,8.158,1291618.0,000002
2014-11-11,8.322,8.296,8.469,8.262,1662414.0,000002
2014-11-12,8.279,8.391,8.417,8.245,947386.0,000002
2014-11-13,8.4,8.219,8.443,8.167,991456.0,000002
2014-11-14,8.193,8.357,8.374,8.124,981738.0,000002
2014-11-17,8.383,8.184,8.504,8.124,996177.0,000002
2014-11-18,8.149,8.028,8.193,7.977,709607.0,000002
2014-11-19,7.994,7.942,8.054,7.907,725051.0,000002
2014-11-20,7.907,7.985,8.011,7.899,579625.0,000002
2014-11-21,7.977,8.098,8.106,7.933,795802.0,000002
2014-11-24,8.556,8.772,8.901,8.426,4698767.0,000002
2014-11-25,8.772,8.711,8.832,8.599,1867132.0,000002
2014-11-26,8.711,8.728,8.772,8.59,1890551.0,000002
2014-11-27,8.763,8.875,9.031,8.668,2162682.0,000002
2014-11-28,8.815,9.42,9.506,8.737,3320329.0,000002
2014-12-01,9.42,9.195,9.498,9.169,2059767.0,000002
2014-12-02,9.109,9.446,9.636,9.04,2353228.0,000002
2014-12-03,9.506,9.679,10.267,9.506,3408338.0,000002
2014-12-04,9.688,10.103,10.198,9.532,2322180.0,000002
2014-12-05,10.137,9.904,10.457,9.593,3123284.0,000002
2014-12-08,9.895,10.63,10.828,9.766,3592707.0,000002
2014-12-09,10.37,9.869,11.407,9.748,4567689.0,000002
2014-12-10,10.007,10.327,10.44,9.731,2672549.0,000002
2014-12-11,10.198,10.396,10.759,10.094,1844100.0,000002
2014-12-12,10.396,10.103,10.5,9.938,1310258.0,000002
2014-12-15,9.982,9.766,9.99,9.575,1677883.0,000002
2014-12-16,9.696,9.964,9.964,9.575,2038079.0,000002
2014-12-17,9.938,10.31,10.336,9.731,3055534.0,000002
2014-12-18,10.379,10.042,10.612,9.982,2416893.0,000002
2014-12-19,10.042,9.921,10.051,9.662,1822460.0,000002
2014-12-22,9.938,10.128,10.526,9.774,2766515.0,000002
2014-12-23,10.111,10.154,10.543,9.809,2860118.0,000002
2014-12-24,10.128,9.532,10.154,9.446,2715193.0,000002
2014-12-25,9.575,9.696,9.748,9.454,1613411.0,000002
2014-12-26,9.705,10.18,10.206,9.662,2576462.0,000002
2014-12-29,10.396,10.742,11.114,10.267,5437483.0,000002
2014-12-30,10.759,10.924,11.364,10.535,3861244.0,000002
2014-12-31,10.889,12.012,12.012,10.768,4899544.0,000002
2015-01-05,12.436,12.885,13.214,12.289,6560835.0,000002
2015-01-06,12.617,12.41,12.954,12.142,3346346.0,000002
2015-01-07,12.324,12.298,12.531,12.099,2642051.0,000002
2015-01-08,12.375,11.745,12.419,11.632,2639394.0,000002
2015-01-09,11.701,11.624,12.289,11.485,3294584.0,000002
2015-01-12,11.511,11.338,11.511,11.019,2436341.0,000002
2015-01-13,11.278,11.295,11.563,11.209,1664610.0,000002
2015-01-14,11.295,11.321,11.494,11.122,1646818.0,000002
2015-01-15,11.347,11.9,11.952,11.235,2429686.0,000002
2015-01-16,11.9,11.684,11.9,11.572,2129475.0,000002
2015-01-19,10.803,10.517,11.148,10.517,3603625.0,000002
2015-01-20,10.543,10.673,10.889,10.422,2914688.0,000002
2015-01-21,10.656,11.278,11.407,10.457,3555294.0,000002
2015-01-22,11.252,11.736,11.796,11.166,3224727.0,000002
2015-01-23,11.727,12.03,12.177,11.494,3310408.0,000002
